Описание;Название в файле;Обяз.
Наименование основное;Наименование;1
Регистрационный номер (ОГРН);Регистрационный номер;1
Краткое наименование;Краткое наименование;1
Полное наименование;Наименование полное;1
Юридический адрес;Адрес (юридический);0
Адрес (место нахождения);Уточн. адрес;0
ФИО руководителя;Руководитель ФИО;1
Руководитель, должность;Руководитель должность;1
Руководитель, ИНН;Руководитель ИНН;1
Телефон;Телефон;1
Факс;Факс;0
Электронный адрес;Электронный адрес;1
Сайт в сети Интернет;Сайт в сети Интернет;1
Дата регистрации;Дата регистрации;1
Возраст компании;Возраст компании;0
Дата ликвидации;Дата ликвидации;1
Статус;Статус;1
Совладельцы;Совладельцы;0
Код ИНН;Код налогоплательщика;1
Код статистики;Код статистики;1
Регион регистрации;Регион регистрации;1
Код ОКАТО;Код ОКАТО;1
Код ОКТМО;Код ОКТМО;1
Вид деятельности/отрасль;Вид деятельности/отрасль;1
Код осн. вида деятельности;Код основного вида деятельности;1
Вид деят. устар.;Вид деятельности/отрасль (ОКВЭД КДЕС Ред. 1);0
Код осн. вида деят. устар.;Код основного вида деятельности (ОКВЭД КДЕС Ред. 1);0
Организационно-правовая форма;Организационно-правовая форма;1
Код ОКОПФ;Код ОКОПФ;1
Форма собственности;Форма собственности;1
Код ОКФС;Код ОКФС;1
Код причины постановки на учет;Код причины постановки на учет;1
ОКОГУ;ОКОГУ;0
Код ОКОГУ;Код ОКОГУ;1
СПАРК код;СПАРК код;1
Биржевой тикер;Тикер биржевой;1
Ранее использованные ИНН;Ранее использованные ИНН;1
Ранее использованные ОГРН;Ранее использованные ОГРН;1
ИДО;ИДО;1
ИФР;ИФР;1
Размер компании;Размер компании;1
Уставный капитал, RUB;Уставный капитал, RUB;1
Комментарий;Комментарий;1
Важная информация;Важная информация;1
